ID,Year,Paper,Subject,Topics,Tags,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
"badf1c61-0a4f-43fd-8d7d-036555f15609","2026","GS","Ancient History","Early Cholas | Cheras | Pandyas","Sangam Age | Ancient South Indian History | Tamilakam | Chera Chola Pandya Dynasties","medium","Which of the following pairs of the king and his dynasty in early historical Tamilakam is/are **not** correctly matched ? 1. Senguttuvan : Chera 2. Udiyanjeral : Chola 3. Nedunjeliyan : Pandya Select the answer using the code given below :","1 and 2","2 only","1 and 3","3 only","B","**Pair 1 is correctly matched:** Senguttuvan (also known as Cheran Senguttuvan or the Red Chera) was a prominent ruler of the **Chera dynasty**. He is celebrated in the Tamil epic *Silappadikaram* and is credited with establishing the Pattini (Kannagi) cult. **Pair 2 is incorrectly matched:** Udiyanjeral (Uthiyan Cheralathan) belonged to the **Chera dynasty**, not the Chola dynasty. He is considered the first historically recorded Chera ruler of the Sangam period and is famous in Sangam literature for the legend of feeding the rival armies during the Mahabharata war. **Pair 3 is correctly matched:** Nedunjeliyan was a famous king of the **Pandya dynasty**. Sangam literature mentions prominent Pandyan kings by this name, such as Nedunjeliyan II, who is renowned for his decisive victory at the Battle of Talaiyalanganam against a combined Chera and Chola force. Since the question asks for the pair(s) that are **not** correctly matched, only Pair 2 fits this criterion. Therefore, the correct option is B."
"33a31ca2-5798-4b72-93e4-bf6be78bf2ee","2026","GS","Ancient History","Indus Valley Civilisation","Indus Valley Civilization | Harappan Town Planning | Ancient Indian History | Harappan Archaeology","medium","Consider the following statements about the archaeological findings in Harappan towns : I. There is wide occurrence of spindle-whorls in the houses but absence of spinning wheels. II. Weights and measurement scales, complete with graduations have been discovered. III. There are houses built in large part with baked bricks, around relatively spacious courtyards, with their own wells, bathing platforms, and large rooms. Which of the following inferences can be drawn from the above statements ? 1. Statement I suggests that spinning was a laborious activity done at home. 2. Statement II suggests the extent of the scientific knowledge that the Harappans possessed. 3. Statement III suggests the emergence of a common property system. Select the answer using the code given below :","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","A","**Inference 1 is Correct:** The wide occurrence of spindle-whorls in Harappan households indicates that spinning was a common domestic activity. The absence of the spinning wheel (which was introduced to India much later during the medieval period) meant that Harappans relied on hand-spinning using drop spindles, which is a highly manual and laborious process. **Inference 2 is Correct:** The discovery of highly standardized cubical chert weights and graduated measurement scales (such as the ivory scale at Lothal and shell scale at Mohenjo-Daro) reflects the advanced mathematical, metrological, and scientific knowledge possessed by the Harappans for trade, architecture, and construction. **Inference 3 is Incorrect:** The presence of distinct, self-contained houses built with baked bricks, featuring their **own private wells**, bathing platforms, and large rooms, points toward a **private property system** and social stratification. A common property system would instead be characterized by shared, communal living spaces and collective ownership of resources. Therefore, option A is the correct answer."
"efd4d8c1-7834-4adb-8cc6-7f925856caf4","2026","GS","Ancient History","Vedic Period","Ancient Indian History | Rigvedic Period | Vedic Age Agriculture | Rigveda","hard","Consider the following statements about the Rigvedic period : I. Irrigation from wells allowed agriculture to expand away from flood plains and strips on river margins into the present Punjab and Haryana plains having underground water levels reasonably close to the surface. II. Draught-animal power was employed to draw up water out of the wells. Which of the following information support/supports the above statements ? 1. There is evidence in the Rigveda of the use of ashma chakra (stone pulley wheel) and ahava (strapped wooden pails) to draw up water. 2. Mention has been made in the Rigveda of the use of implements like parashu / kulisha (axe) and datra / sreni (sickle). 3. There is a history of the use of ox, even before the Rigveda, for ploughing the land and pulling the carts. Select the answer using the code given below :","1 and 2 only","1, 2 and 3","1 and 3 only","3 only","C","**Statement 1 is Correct:** The Rigveda contains references to the use of an **ashma chakra** (stone pulley wheel) and **ahava** (strapped wooden pails) to draw water from wells. This supports the idea that irrigation from wells allowed agriculture to expand away from flood plains into areas like Punjab and Haryana, where groundwater was accessible. **Statement 2 is Correct:** The use of draught-animal power, specifically oxen, to draw water from wells is supported by historical evidence. Oxen were domesticated and used for ploughing and pulling carts even before the Rigvedic period, as evidenced by archaeological finds from the Indus Valley Civilization. This supports the statement that draught-animal power was employed to draw water from wells. **Statement 3 is Incorrect:** While the Rigveda mentions agricultural implements like **parashu** (axe) and **datra** (sickle), these references do not directly support the statements about irrigation and draught-animal power. They are more related to the tools used for clearing land and harvesting crops. Therefore, the correct option is C, as statements 1 and 3 support the given statements about the Rigvedic period."
"809ecf73-eb87-487c-b371-4259298f5fa7","2026","GS","Ancient History","Janapadas and Mahajanapadas | Pandyas | Post Mauryan Empire | Harshavardhan's Period | Early Cholas","Ancient Indian History | Ancient Indian Coinage | Punch-marked Coins | Second Urbanization | Pali Literature","medium","Consider the following statements : I. Pali texts contain the first definite references to coins, e.g., **kahapana**, **nikkha**, **kamsa**, and **kakanika**. II. The literary evidence from Pali texts is corroborated by archaeological evidence of punch-marked coins from many sites, most of them made of silver. The above statements have been associated with which of the following ? 1. Emergence of urban life 2. Transition to money economy Select the answer using the code given below :","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C","The introduction of coinage in ancient India, as evidenced by Pali texts and archaeological finds of punch-marked coins, is a hallmark of the 6th century BCE. This period is associated with two major socio-economic developments: **1. Emergence of urban life:** The widespread use of metallic money is a defining feature of the **Second Urbanization** in the Gangetic valley. The rise of the Mahajanapadas was accompanied by the growth of fortified cities (*nagaras*), organized artisan guilds, and long-distance trade along routes like the *Uttarapatha*, all of which were facilitated by the use of coins. **2. Transition to money economy:** The introduction of specific coin denominations like **kahapana**, **nikkha**, **kamsa**, and **kakanika** marked a definitive shift from a purely barter-based system to a **money economy**. This transition allowed for standardized pricing, wage payments, and the emergence of complex economic practices such as money-lending (usury), which are extensively documented in early Buddhist literature. Therefore, the given statements are associated with both the emergence of urban life and the transition to a money economy. Therefore, the correct option is C."
"4c9ad274-fa62-41fd-8d45-b1fb49f01a36","2026","GS","Ancient History","","Ancient Indian History | History of Mathematics | Indian Epigraphy | Place-value System | Union Public Service Commission","hard","Consider the following statements relating to the use of the place-value system in India : 1. The earliest epigraphic use of the place-value system in India is found in the Mankani plates from Gujarat (AD 595 – 596). 2. In the ninth century, place-values become general in inscriptions all over India. 3. The place-values have been found in Sanskrit inscriptions in South-east Asia as early as the seventh century. Which of the statements given above are correct ?","1 and 2 only","1 and 3 only","2 and 3 only","1, 2 and 3","D","**Statement 1 is Correct:** The earliest known epigraphic evidence of the decimal place-value system in India is found in the **Mankani copper-plate charter** of Taralasvamin from Gujarat, which is dated to the Kalachuri year 346 (approximately 594–596 CE). **Statement 2 is Correct:** Although the conceptual origins of the place-value system and zero date back much earlier in literary and mathematical texts (such as those by Aryabhata), their use in everyday epigraphy was not immediate. The decimal place-value notation became a general, widespread feature in inscriptions all over India only by the **ninth century CE** (e.g., the 876 CE Chaturbhuj Temple inscription in Gwalior). **Statement 3 is Correct:** The Indian decimal place-value system spread rapidly to Southeast Asia. Epigraphists have found clear evidence of place-value numerals and the zero placeholder in Sanskrit and Sanskrit-influenced inscriptions in regions like Cambodia, Sumatra (Srivijaya), and Java dating as early as the **seventh century CE** (e.g., inscriptions dated to Saka years 605 and 606, corresponding to 683 and 684 CE). Therefore, all three statements are correct."
"74456a0e-c48d-4110-8f09-2c5fd6947eb3","2026","GS","Ancient History","Vedic Period","Ancient Indian History | Vedic Literature | Rigveda | Ancient Indian Texts","hard","In which one among the following texts does the term **kshetra-patni** ('mistress of the field') originate ?","Rigveda","Atharvaveda","Ashtadhyayi","Arthashastra","B","The term **kshetra-patni** translates to ""mistress of the field"" (**kshetra** meaning field or land, and **patni** meaning mistress or wife). It is an agricultural deity associated with fertility and the evolving concept of land possession in ancient India. **Atharvaveda** is the correct answer. The term explicitly originates in the **Atharvaveda**, where hymns (such as AV 2.12.1) invoke the ""mistress of the field"" to bless agricultural endeavors. **Rigveda** is incorrect. While the **Rigveda** frequently invokes the masculine counterpart, **Kshetrapati** (""Lord of the Field,"" an agricultural deity found in hymns like RV 4.57), the feminine term **Kshetra-patni** is a later development that is absent from the Rigvedic text. **Ashtadhyayi** is incorrect. Authored by Panini (approx. 4th century BCE), it is a foundational treatise on Sanskrit grammar and linguistic rules, not the origin source for Vedic agricultural deities. **Arthashastra** is incorrect. Authored by Kautilya (approx. 3rd century BCE), this text deals with statecraft, economy, and land administration. While it extensively discusses agriculture (using terms like **sitadhyaksha** for the superintendent of agriculture), it post-dates the Vedas by centuries and is not the origin of the term. Therefore, Option B is the correct answer."
"60f7b1c7-471f-49f1-8dad-6dcc09751fcd","2026","GS","Ancient History","Vedic Period","Ancient Indian History | Vedic Period | Rigvedic Rivers | Ancient Indian Geography","medium","Which of the following pairs of ancient and modern names of rivers is/are correctly matched ? 1. Vitasta : Chenab 2. Asikni : Jhelum 3. Parushni : Ravi 4. Yavyavati : Beas Select the answer using the code given below :","1 and 2","3 and 4","3 only","4 only","C","**Pair 1 is incorrectly matched:** The ancient Rigvedic name for the modern **Jhelum** river is **Vitasta**, not Chenab. **Pair 2 is incorrectly matched:** The ancient Rigvedic name for the modern **Chenab** river is **Asikni**, which translates to ""dark-colored waters."" **Pair 3 is correctly matched:** The ancient Rigvedic name for the modern **Ravi** river is **Parushni**. It is historically significant as the site of the ""Battle of the Ten Kings"" (Dasarajna) fought by King Sudas, as mentioned in the Rigveda. **Pair 4 is incorrectly matched:** The ancient Rigvedic name for the modern **Beas** river is **Vipasha**. **Yavyavati** is another ancient river mentioned in the Rigveda, often associated by historians with the Zhob river in Balochistan or the ancient Drishadvati river, but it is definitively not the Beas. Therefore, only pair 3 is correctly matched, making the correct option C."
"6f2416fd-b7c4-4b47-8e40-4b6fba0f3fc6","2026","GS","Art & Culture","Indian Music","Hindustani Classical Music | Pandit Mallikarjun Mansur | Musical Gharanas | Indian Art and Culture","medium","Pandit Mallikarjun Mansur, the famous classical singer from Karnataka, represented the :","Agra Gharana","Gwalior Gharana","Patiala Gharana","Jaipur-Atrauli Gharana","D","**Pandit Mallikarjun Mansur** (1910–1992) was a legendary Hindustani classical vocalist born in the Dharwad district of Karnataka. He is universally recognized as one of the foremost stalwarts of the **Jaipur-Atrauli Gharana**. - **Agra Gharana** is incorrect. This gharana was founded by Haji Sujan Khan and Ustad Ghagghe Khudabaksh, and is known for its rhythmic play and robust voice culture (e.g., Faiyaz Khan), but it was not Mansur's gharana. - **Gwalior Gharana** is incorrect. Although Mansur initially received some training in the Gwalior style under Nilkanth Bua Alurmath, he is not considered a representative of this gharana. He later transitioned completely to the Jaipur-Atrauli style. - **Patiala Gharana** is incorrect. Founded by Ustad Fateh Ali Khan and Ustad Ali Baksh, and popularized by Bade Ghulam Ali Khan, this gharana is known for its emotional appeal and complex *taans*, but it is unrelated to Mansur. - **Jaipur-Atrauli Gharana** is correct. Mansur received his most significant training from Ustad Manji Khan and Ustad Bhurji Khan, who were the sons of the gharana's founder, Ustad Alladiya Khan. His singing style reflected the core principles of the Jaipur-Atrauli tradition, characterized by a robust, open-throated voice, intricate *taans*, and complex rhythmic structures. He was highly celebrated for his mastery over rare and complex ragas. Therefore, the correct option is D."
"e40460e0-800c-48d5-85e5-ae588417864c","2026","GS","Art & Culture","","Boong Film | British Academy of Film and Television Arts | Lakshmipriya Devi | Indian Cinema Awards","hard","Consider the following statements with regard to the film 'Boong': 1. The film has recently won the British Academy of Film and Television Arts (BAFTA) Award in the Children's and Family Film category. 2. The film is directed by Lakshmipriya Devi. 3. This is the first Indian film to win a BAFTA award in the Children's and Family Film category. Which of the statements given above is/are correct?","1, 2 and 3","2 and 3 only","1 and 2 only","3 only","A","**Statement 1 is Correct:** The Manipuri-language coming-of-age drama film *Boong* recently won the **British Academy of Film and Television Arts (BAFTA) Award** in the **Best Children's and Family Film** category, competing against major international studio productions like *Zootopia 2* and *Lilo & Stitch*. **Statement 2 is Correct:** The film is written and directed by debutant filmmaker **Lakshmipriya Devi** and co-produced by Farhan Akhtar and Ritesh Sidhwani’s Excel Entertainment. **Statement 3 is Correct:** *Boong* made history by becoming the **first Indian film** to ever win a BAFTA award in the Best Children's and Family Film category. Therefore, the correct option is A."
"ab1fd40a-320d-429d-951d-68b4e9673a5c","2026","GS","Art & Culture","Art and Architecture","Amaravati Stupa | Amaravati School of Art | Buddhist Architecture | Indian Art and Culture | Ancient Indian History","medium","Which of the following statements on the Amaravati Stupa and its relief sculpture is/are correct ? 1. It was located in the lower Krishna valley. 2. In India, it was next only to the Sanchi Stupa in size. 3. The Amaravati school of sculpture made a lasting impact on the later South Indian sculpture, and its products were carried to Sri Lanka and South-east Asia. Select the answer using the code given below :","1 only","1 and 3 only","2 and 3 only","1, 2 and 3","B","**Statement 1 is Correct:** The Amaravati Stupa, historically known as the *Maha Chaitya*, is located in the **lower Krishna River valley** in the Guntur district of modern-day Andhra Pradesh. **Statement 2 is Incorrect:** The Amaravati Stupa was actually **larger** than the Great Stupa at Sanchi. At its peak, the Amaravati Stupa had a diameter of approximately 50 meters and a height of about 27 meters, making it the largest stupa in India. In contrast, the Sanchi Stupa has a diameter of roughly 36.5 meters. Therefore, it was not ""next only to Sanchi"" in size. **Statement 3 is Correct:** The Amaravati school of art (also known as the Vengi or Andhra school) had a profound and lasting impact on later South Indian sculpture, including Pallava and Chola art. Facilitated by robust maritime trade networks along the eastern coast of India, the Amaravati style and its sculpted products were widely exported. Its influence is prominently visible in **Sri Lanka** (especially the Buddha images at Anuradhapura) and across various parts of **Southeast Asia** (such as Thailand and Java). Therefore, option B is the correct answer."
