Id,Year,Paper,Subject,Topics,Tags,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
CDS-2017-II-GK-001,2017,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,easy,Which one of the following tribal groups is dominantly found in the “Blue Mountains? [2017 CDS-II],Lambadas,Gonds,Jarawas,Todas,D,"Solution: The Todas are an ethnic, pastoral tribal group who are predominantly found in the ‘Blue Mountains’ (Nilgiri mountain range) in Tamil Nadu. The Gonds tribal people are spread over the states of Madhya Pradesh, eastern Maharashtra (Vidarbha), Chhattisgarh, Uttar Pradesh, Telangana, Andhra Pradesh, Bihar and Western Odisha. The Jarawas are indigenous people of the Andaman Islands in India. They live in parts of South Andaman and Middle Andaman Islands. The Lambadas and Sugali tribes were, originally, nomads from Rajasthan. Many settled in Andhra Pradesh and they are the largest tribe in this state. They live in settlements called Tandas outside the main villages © examsnet.com"
CDS-2017-II-GK-002,2017,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,Who among the following geographers is related to ‘primate city’ concept? [2017 CDS-II],August Losch,Mark Jefferson,Griffith Taylor,W. Christaller,B,"Solution: Among the given geographers, Mark Jefferson is related to the ‘primate city’ concept. The ‘law of the primate city’ was first proposed by the geographer Mark Jefferson in 1939. He defined a primate city as being ‘at least twice as large as the next largest city and more than twice as significant’. A primate city is number one in its country in most aspects, like politics, economy, media, culture and universities. © examsnet.com"
CDS-2017-II-GK-003,2017,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,Which one of the following islands is the largest? [2017 CDS-II],Borneo,Madagascar,New Guinea,Sumatra,C,"Solution: Among the given islands, New Guinea is the largest. The areas of the different islands are as given below: New Guinea (785,753 sq km) Borneo (748,168 sq km) Madagascar (587,713 sq km) Sumatra (443,066 sq km) © examsnet.com"
CDS-2017-II-GK-004,2017,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,hard,Arrange the following Tiger Reserves of India from North to South : 1. Dudhwa 2. Panna 3. Pench 4. Indravati Select the correct answer using the code given below. [2017 CDS-II],"4, 3, 2, 1","2, 1, 4, 3","1, 2, 3, 4","1, 3, 2, 4",C,"Solution: The Dudhwa National Park is located in the Terai of Uttar Pradesh. It is located on the Indo Nepal border in the Lakhimpur Kheri district. Panna National Park is located in Panna and Chhatarpur districts of Madhya Pradesh. Pench National Park is in Seoni and Chhindwara districts of Madhya Pradesh. It derives its name from the Pench River that flows through the park. Indravati National Park is a national park located in the Bijapur district of Chhattisgarh. So,the correct sequence from north to south is: Dudhwa, Panna, Pench and Indravati. © examsnet.com"
CDS-2017-II-GK-005,2017,GK,Defence & Security,"Defence, Military & Internal Security",Defence | Military Exercises | Armed Forces | Security Architecture,easy,Which one of the following proteins gives lustrous shiny appearance to silk fibre? [2017 CDS-II],Fibrin,Sericin,Collagen,Nectin,A,Solution: Fibrin protein gives lustrous shiny appearance to the silk fibre. The protein fibre of silk is composed mainly of fibroin and is produced by certain insect larvae to form cocoons. The best-known silk is obtained from the cocoons of the larvae of the mulberry silkworm reared in captivity. This process of rearing of silkworms for the production of silk is called sericulture © examsnet.com
CDS-2017-II-GK-006,2017,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,easy,Blue Baby Syndrome is caused by the contamination of [2017 CDS-II],nitrite ( N O 2 − ) (\mathrm{NO}_{2}^{-}) ( NO 2 − ​ ),sulphite ( S O 3 2 − ) (\mathrm{SO}_{3}^{2-}) ( SO 3 2 − ​ ),nitrate ( N O 3 − ) (\mathrm{NO}_{3}^{-}) ( NO 3 − ​ ),sulphate ( S O 4 2 − ) (\mathrm{SO}_{4}^{2-}) ( SO 4 2 − ​ ),A,"Solution: Blue Baby Syndrome is caused by the contamination of nitrite ( N O 2 − \mathrm{NO}_{2}^{-} NO 2 − ​ ). High nitrate levels in ground water can cause methemoglobinaemia or blue baby syndrome, a condition found especially in infants less than six months. The stomach acid of an infant is not as strong as in older children and adults. This causes an increase in bacteria that can readily convert nitrate to nitrite ( N O 2 ) (\mathrm{NO}_2) ( NO 2 ​ ) . Nitrite is absorbed in the blood forming methaemoglobin leading to reduced oxygen supply to vital tissues such as the brain. © examsnet.com"
CDS-2017-II-GK-007,2017,GK,Science & Tech,General Science & Emerging Technologies,Science & Tech | General Science | Applied Science | Physics | Chemistry | Biology,hard,Match List-I with List-II and select the correct answer using the code given below the Lists : List-I(Cell Organelle) List-II(Function) A. Mitochondria 1. Photosynthesis B. Chloroplast 2. Protein synthesis C. Ribosomes 3. Intracellulardigestion D. Lysosomes 4. ATP formation A B C D (a) 3 1 2 4 (b) 3 2 1 4 (c) 4 1 2 3 (d) 4 2 1 3 [2017 CDS-II],(a),(b),(c),(d),C,"Solution: The most prominent roles of mitochondria are to produce the energy currency of the cell, ATP (Adenosine triphosphate) through respiration, and to regulate cellular metabolism. It is also known as the powerhouse of the cell. Chloroplasts are small organelles inside the cells of plants and algae. Chloroplasts contain the molecule chlorophyll, which absorbs sunlight for photosynthesis. The ribosome is a complex molecular machine, found within all the living cells, that serves as the site of biological protein synthesis. Inside a cell, numerous organelles function to remove wastes. One of the key organelles involved in the digestion and waste removal is the lysosome. Lysosomes are organelles that contain digestive enzymes for intracellular digestion. © examsnet.com"
CDS-2017-II-GK-008,2017,GK,Science & Tech,General Science & Emerging Technologies,Science & Tech | General Science | Applied Science | Physics | Chemistry | Biology,medium,Human insulin molecule is composed of one α-chain having 21 amino acids and one β-chain having 30 amino acids. How many functional insulin genes occur in adult humans? [2017 CDS-II],One,Two,Three,Four,B,Solution: Human insulin molecule is composed of one-chain having 21 amino acids and one-chain having 30 amino acids. There are two functional insulin genes that occur in adult humans. The polypeptide hormone insulin is required for normal glucose homeostasis. Lack of insulin or insulin insufficiency leads to diabetes. © examsnet.com
CDS-2017-II-GK-009,2017,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,Pearl is a hard object produced within the soft tissues of a mollusk. Which one of the following is the main constituent of pearl? [2017 CDS-II],Calcium carbonate,Calcium oxide,Calcium nitrate,Calcium sulphate,A,"Solution: Pearl is a hard object produced within the soft tissues of a mollusk. Calcium carbonate is the main constituent of pearl. Calcium carbonate is a chemical compound with the formula C a C O 3 CaCO_3 C a C O 3 ​ . It is a common substance found in rocks and is the main component of pearls and the shells of marine organisms, snails and eggs. © examsnet.com"
CDS-2017-II-GK-010,2017,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,"A biological community in its environment such as a pond, an ocean, a forest, even an aquarium is known as [2017 CDS-II]",biome,community,abiotic environment,ecosystem,D,"Solution: A biological community in its environment, such as a pond, an ocean, a forest, even an aquarium is known as an ecosystem. The biotic community (here a biological community) along with the physical or abiotic elements (here pond, ocean, forest, aquarium) of the environment together constitute the ecosystem. © examsnet.com"
