Id,Year,Paper,Subject,Topics,Tags,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
CDS-2013-I-GK-001,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,"Outstanding historian Eric Hobsbawm who expired on 1st October, 2012, has authored a large number of books. The title of his famous autobiography is",Bandits,"Uncommon People: Resistance, Rebellion and Jazz",The New Century : In Conversation with Antonio Polito,Interesting Times: A Twentieth-Century Life,D,"**Correct Answer: Option (D) - Interesting Times: A Twentieth-Century Life**

**Context & Concept (General Knowledge - General Knowledge):**
Option (D) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-002,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,hard,"Which of the following institutions was/were asked by the Government of India to provide official estimates of black (unaccounted) money held by Indians, both in India and abroad? 1. National Institute of Public Finance and Policy 2. National Council of Applied Economic Research 3. National Institute of Financial Management Select the correct answer using the code given below.",1 only,1 and 2 only,2 and 3 only,"1,2 and 3",D,"**Correct Answer: Option (D) - 1,2 and 3**

**Context & Concept (Modern History - Indian National Movement):**
Option (D) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-003,2013,GK,Economy,Indian Economy & Financial System,Economy | Macroeconomics | Banking & Finance | Public Finance,easy,The concept which tries to ascertain the actual deficit in the revenue account after adjusting for expenditure of capital nature is termed as,revenue deficit,effective revenue deficit,fiscal deficit,primary deficit,B,"**Correct Answer: Option (B) - effective revenue deficit**

**Context & Concept (Economy - Indian Economy & Financial System):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-004,2013,GK,Science & Tech,General Science & Emerging Technologies,Science & Tech | General Science | Applied Science | Physics | Chemistry | Biology,easy,Which one among the following programmes has now been restructured as the National Rural Livelihood Mission?,Swarna Jayanti Shahri Rozgar Yojana,Swarna Jayanti Gram Swarozgar Yojana,Janshree Bima Yojana,Rashtriya Swasthya Bima Yojana,B,"**Correct Answer: Option (B) - Swarna Jayanti Gram Swarozgar Yojana**

**Context & Concept (Science & Tech - General Science & Emerging Technologies):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-005,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,hard,Which of the following are included in the category of direct tax in India? 1. Corporation Tax 2. Tax on Income 3. Wealth Tax 4. Customs Duty 5. Excise Duty Select the correct answer using the code given below.,"1,2 and 3","1 , 2 , 4 1,2,4 1 , 2 , 4 and 5",2 and 3 only,"1 , 3 , 4 1,3,4 1 , 3 , 4 and 5",A,"**Correct Answer: Option (A) - 1,2 and 3**

**Context & Concept (Modern History - Indian National Movement):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-006,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,Which one among the following is a fixed cost to a manufacturing firm in the short run?,Insurance on buildings,Overtime payment to workers,Cost of energy,Cost of raw materials,A,"**Correct Answer: Option (A) - Insurance on buildings**

**Context & Concept (General Knowledge - General Knowledge):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-007,2013,GK,Economy,Indian Economy & Financial System,Economy | Macroeconomics | Banking & Finance | Public Finance,hard,The government can influence private sector expenditure by 1. taxation 2. subsidies 3. macroeconomic policies 4. grants Select the correct answer using the code given below.,"1, 2, 3 and 4","1,2 and 4 only","1,2 and 3 only",3 and 4 only,B,"**Correct Answer: Option (B) - 1,2 and 4 only**

**Context & Concept (Economy - Indian Economy & Financial System):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-008,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,hard,Which of the following occupations are included under secondary sector as per the national income accounts? 1. Manufacturing 2. Construction 3. Gas and water supply 4. Mining and quarrying Select the correct answer using the code given below.,"1, 2, 3 and 4","1,2 and 4 only","1,2 and 3 only",3 and 4 only,C,"**Correct Answer: Option (C) - 1,2 and 3 only**

**Context & Concept (Modern History - Indian National Movement):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-009,2013,GK,Economy,Indian Economy & Financial System,Economy | Macroeconomics | Banking & Finance | Public Finance,hard,The sharp depreciation of rupee in the Forex market in the year 2011 was due to 1. flight to safety by foreign investors 2. meltdown in European markets 3. inflation in emerging market economies 4. lag effect of monetary policy tightening Select the correct answer using the code given below.,"1, 2 and 3 only","1,2 and 4 only",3 and 4 only,"1 , 2 , 3 1,2,3 1 , 2 , 3 and 4",B,"**Correct Answer: Option (B) - 1,2 and 4 only**

**Context & Concept (Economy - Indian Economy & Financial System):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-010,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,hard,The lower growth of coal production in India during 201-2012 was primarily due to 1. environmental restrictions 2. non-availabilty of forestry clearance 3. por law and order situation in coalproducing states 4. excesive rainfal in coal-mining areas. Select the corect answer using the code given below.,"1, 2, 3 and 4","1, 2 and 3 only","2, 3 and 4 only",1 and 4 only,B,"**Correct Answer: Option (B) - 1, 2 and 3 only**

**Context & Concept (General Knowledge - General Knowledge):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-011,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,hard,Human Poverty Index (HPI) developed by UNDP is based on which of the following deprivations? 1. Income deprivation 2. Literacy deprivation 3. Social services deprivation 4. Employment deprivation Select the correct answer using the code given below.,"1 , 2 , 3 1,2,3 1 , 2 , 3 and 4","1,2 and 3 only","1,3 and 4 only",2 and 4 only,A,"**Correct Answer: Option (A) - 1 , 2 , 3 1,2,3 1 , 2 , 3 and 4**

**Context & Concept (Modern History - Indian National Movement):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-012,2013,GK,Ancient History,Ancient Indian History,Ancient History | Indian History | Archaeological Sources,easy,"In the Gupta age, Varahamihira wrote the famous book, Brihat Samhita. It was a treatise on",Astronomy,Statecraft,Ayurvedic system of medicine,Economics,A,"**Correct Answer: Option (A) - Astronomy**

**Context & Concept (Ancient History - Ancient Indian History):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-013,2013,GK,Ancient History,Ancient Indian History,Ancient History | Indian History | Archaeological Sources,easy,"The highly polished monolithic Ashokan pillars were carved out of single pieces of a buff-coloured sandstone, usually mined from the quarries of",Chunar near Mirzapur,Lauriya in Nandangarh,Sarnath near Varanasi,Udayagiri near Bhubaneshwar,A,"**Correct Answer: Option (A) - Chunar near Mirzapur**

**Context & Concept (Ancient History - Ancient Indian History):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-014,2013,GK,Current Affairs,Current Events of National & International Importance,Current Affairs | International Relations | Government Schemes | Awards,easy,Which one among the following statements with regard to the National Security Council (NSC) of India is not correct?,It is a three-tiered organization,The Deputy Chairman of the Planning Commission is its member,It is the apex body looking exclusively the security concerns of the country,RAW and Intelligence Bureau (India) report to NSC \text{NSC} NSC,B,"**Correct Answer: Option (B) - The Deputy Chairman of the Planning Commission is its member**

**Context & Concept (Current Affairs - Current Events of National & International Importance):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-015,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,"The fortification of Calcutta by the British in 1756 was regarded by the Nawab of Bengal, Siraj-ud-daulah, as",growth of large-scale British trade,an attack upon his sovereignty,insecurity of the British in India,British control over Bengal,B,"**Correct Answer: Option (B) - an attack upon his sovereignty**

**Context & Concept (General Knowledge - General Knowledge):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-016,2013,GK,Environment & Ecology,"Ecology, Biodiversity & Climate Change",Environment & Ecology | Biodiversity | Conservation | Climate Change,medium,"Which among the following has been included as a parameter for the first time under the National Ambient Air Quality Standards (NAAQS) based on Central Pollution Control Board and IIT, Kanpur research, WHO guidelines and European Union limits and practices?",Sulphur dioxide,Oxides of nitrogen,Ozone,Carbon monoxide,C,"**Correct Answer: Option (C) - Ozone**

**Context & Concept (Environment & Ecology - Ecology, Biodiversity & Climate Change):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-017,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,medium,"Forth BRICS Summit, held in New Delhi in March 2012, deliberated on the challenges faced by India for sustainable growth. Which one among the following is not a part of the formulated challenges?",Improvements required in public sector management,Inclusive growth,Improvements required in physical infrastructure,Development in the agricultural sector,A,"**Correct Answer: Option (A) - Improvements required in public sector management**

**Context & Concept (Modern History - Indian National Movement):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-018,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,ONGC Videsh (the State-owned oil and gas company of India) recently (September 2012) signed a definitive agreement with,Russia,Azerbaijan,Iran,South Sudan,B,"**Correct Answer: Option (B) - Azerbaijan**

**Context & Concept (General Knowledge - General Knowledge):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-019,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,medium,"Forth BRICS Summit, held in New Delhi in March 2012, deliberated on the challenges faced by India for sustainable growth. Which one among the following is not a part of the formulated challenges?",Improvements required in public sector management,Inclusive growth,Improvements required in physical infrastructure,Development in the agricultural sector,A,"**Correct Answer: Option (A) - Improvements required in public sector management**

**Context & Concept (Modern History - Indian National Movement):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-020,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,Which one among the following countries initiated the process of Fourth Wave of Democratic Transition?,Libya,Afghanistan,Tunisia,Morocco,C,"**Correct Answer: Option (C) - Tunisia**

**Context & Concept (General Knowledge - General Knowledge):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-021,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,"Some atheists, skeptics and non-believers called to celebrate 'December 25' as Newtonmas day instead of observing Christmas Day. The reason they propose that",both Isaac Newton and Jesus Christ were great,Isaac Newton was born on 25 th December,'Skeptic Society' was founded on 25 th December,Isaac Newton was a deep believer of Christianity,B,"**Correct Answer: Option (B) - Isaac Newton was born on 25 th December**

**Context & Concept (General Knowledge - General Knowledge):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-022,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,easy,European Union's Annual Sakharov Prize for Freedom of Thought for 2012 has been won by,Guillermo Farinas from Cuba,Nasrin Sotoudeh and Jafar Panahi from Iran,Ali Farzat from Syria and Mohamed Bouazizi from Tunisia,Asmaa Mahfouz and Ahmed al-Senussi from Egypt and Libya respectively,B,"**Correct Answer: Option (B) - Nasrin Sotoudeh and Jafar Panahi from Iran**

**Context & Concept (Modern History - Indian National Movement):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-023,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,The Rohingya are the minorities of,South Africa,Canada,Myanmar,Bhutan,C,"**Correct Answer: Option (C) - Myanmar**

**Context & Concept (General Knowledge - General Knowledge):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-024,2013,GK,Defence & Security,"Defence, Military & Internal Security",Defence | Military Exercises | Armed Forces | Security Architecture,medium,"Consider the following statements : During the last week of November 2012, Palestinian engineers dug up the tomb of Yasser Arafat. This was done primarily to 1. place the remains of Yasser Arafat in a mosque compound 2. confirm the prevailing suspicion that Israel had poisoned him Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"**Correct Answer: Option (B) - 2 only**

**Context & Concept (Defence & Security - Defence, Military & Internal Security):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-025,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,medium,"Rafael Nadal won the French Open Tennis Title, 2012. He defeated",Andy Murray,Roger Federer,Novak Djokovic,David Ferrer,C,"**Correct Answer: Option (C) - Novak Djokovic**

**Context & Concept (General Knowledge - General Knowledge):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-026,2013,GK,Art & Culture,Indian Culture and Heritage,Art & Culture | Architecture | Performing Arts | Heritage Sites,easy,Which one among the following was added in the year 2012 in the list of World Heritage Sites of the UNESCO?,Western Ghats,Agra Fort,Ajanta Caves,Meenakshi Temple,A,"**Correct Answer: Option (A) - Western Ghats**

**Context & Concept (Art & Culture - Indian Culture and Heritage):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-027,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,easy,Which one among the following is not a salient feature of the Companies Bill as amended in the year 2012?,"For spending the amount earmarked for corporate social responsibility, the company shall give preferences to local areas where it operates",Punishment for falsely inducing a person to enter into an agreement with bank or financial institution with a view to obtaining credit facilities,There is no limit in respect of companies in which a person may be appointed as auditor,'Independent directors' shall be excluded for the purpose of computing 'one-third of retiring directors',C,"**Correct Answer: Option (C) - There is no limit in respect of companies in which a person may be appointed as auditor**

**Context & Concept (Modern History - Indian National Movement):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-028,2013,GK,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,hard,FDI in Multi-Brand Retail Trade (MBRT) in all products is now permitted in India subject to 1. a ceiling of 51 % 51 \% 51% 2. minimum amount to be brought in as FDI by the foreign investor is US \ \backslash \ 100 million t e x t 3. a t l e a s t \text{ million}\\text{3. at least } million t e x t 3. a tl e a s t 50 \%$ of the procurement of manufactured/processed products should be sourced from 'small industries' 4. retail sales locations set up only in cities with a population of more than 10 lacs Select the correct condition/conditions using the code given below.,"1, 2, 3 and 4",1 and 4 only,2 only,"1,2 and 4 only",D,"**Correct Answer: Option (D) - 1,2 and 4 only**

**Context & Concept (Geography - Physical and Indian Geography):**
Option (D) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-029,2013,GK,Polity,Indian Constitution & Governance,Polity | Constitution of India | Governance | Constitutional Bodies,easy,"Why was Kaushik Basu, the ex-economic advisor to the Prime Minister of India, in news recently? He was appointed as",the President of the IMF,the President of the World Bank,the Economic Advisor of the United Nations,the Chief Economist of the World Bank,D,"**Correct Answer: Option (D) - the Chief Economist of the World Bank**

**Context & Concept (Polity - Indian Constitution & Governance):**
Option (D) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-030,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,easy,"Who among the following was selected for the prestigious Indira Gandhi Prize for Peace, Disarmament and Development, 2012?",Ellen Johnson Sirleaf,Ela Bhatt,Luiz Inacio Lula da Silva,Sheikh Hasina,A,"**Correct Answer: Option (A) - Ellen Johnson Sirleaf**

**Context & Concept (Modern History - Indian National Movement):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-031,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,hard,"Between 1309 and 1311, Malik Kafur led two campaigns in South India. The significance of the expeditions lies in it that 1. they reflected a high degree of boldness and spirit of adventure on the part of Delhi rulers 2. the invaders returned to Delhi with untold wealth 3. they provided fresh geographical knowledge 4. Ala-ud-din promoted Malik Kafur to the rank of Malik-naib or Vice-Regent of the Empire Select the correct answer using the code given below.",1 and 3 only,"1,2 and 4 only",2 and 4 only,"1 , 2 , 3 1,2,3 1 , 2 , 3 and 4",A,"**Correct Answer: Option (A) - 1 and 3 only**

**Context & Concept (General Knowledge - General Knowledge):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-032,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,"Ibn Batuta's work, Rihla, completed in 1355 , is",an autobiography,an account of the Delhi Sultans from Aibek to Ghiyas-ud-din Tughluq,a religious text,an account of trade with Morocco,B,"**Correct Answer: Option (B) - an account of the Delhi Sultans from Aibek to Ghiyas-ud-din Tughluq**

**Context & Concept (General Knowledge - General Knowledge):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-033,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,"Several socio-political organizations were formed in the 19th and 20th Centuries in India. Anjuman-e-Khawatin-e-Islam, founded in the year 1914 was",All India Muslim Ladies Conference,a radical wing of the All India Muslim League,All India Muslim Students' Conference,All India Islamic Conference,A,"**Correct Answer: Option (A) - All India Muslim Ladies Conference**

**Context & Concept (General Knowledge - General Knowledge):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-034,2013,GK,Science & Tech,General Science & Emerging Technologies,Science & Tech | General Science | Applied Science | Physics | Chemistry | Biology,medium,"British colonialism in India saw the emergence of new cities. Calcutta, now Kolkata was one of the first cities. Which of the following villages were amalgamated to form the city of Calcutta?","Midnapur, Chittagong, Burdwan","24-Parganas, Kalikata, Thakurgaon","Sutanuti, Kalikata, Gobindapur","Midnapur, Thakurgaon, Gobindapur",C,"**Correct Answer: Option (C) - Sutanuti, Kalikata, Gobindapur**

**Context & Concept (Science & Tech - General Science & Emerging Technologies):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-035,2013,GK,Medieval History,Medieval Indian History,Medieval History | Delhi Sultanate | Mughal Empire | Administration,easy,What was Ziyarat in the language of the Sufis?,Pilgrimage to the tombs of Sufi saints for seeking barkat (spiritual grace),Reciting divine name,Offering free kitchens run on futuh (unasked for charity),Setting up of auqaf (charitable trusts),A,"**Correct Answer: Option (A) - Pilgrimage to the tombs of Sufi saints for seeking barkat (spiritual grace)**

**Context & Concept (Medieval History - Medieval Indian History):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-036,2013,GK,Ancient History,Ancient Indian History,Ancient History | Indian History | Archaeological Sources,hard,Which of the following was/were not related to Buddha's life? 1. Kanthaka 2. Alara Kalama 3. Channa 4. Goshala Maskariputra Select the correct answer using the code given below.,1 only,4 only,1 and 2,3 and 4,B,"**Correct Answer: Option (B) - 4 only**

**Context & Concept (Ancient History - Ancient Indian History):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CDS-2013-I-GK-037,2013,GK,Ancient History,Ancient Indian History,Ancient History | Indian History | Archaeological Sources,medium,Statement I: There was great exodus of Jaina monks under the leadership of Bhadrabahu to the Deccan following severe famine in the Ganga Valley towards the end of Chandragupta's reign. Statement II: Chandragupta Maurya joined the Jaina order as a monk,Both the statements are individually true and Statement II is the correct explanation of Statement I,Both the statements are individually true but Statement II is not the correct explanation of Statement I,Statement I is true but Statement II is false,Statement I is false but Statement II is true,B,"**Correct Answer: Option (B) - Both the statements are individually true but Statement II is not the correct explanation of Statement I**

**Context & Concept (Ancient History - Ancient Indian History):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
