Id,Year,Paper,Subject,Topics,Tags,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
CAPF-2022-GAI-001,2022,GAI,General Mental Ability,Logical & Analytical Reasoning,Mental Ability | Logical Reasoning | Analytical Ability,easy,Which one of the following is the difference of the sum of cubes of first ten natural numbers and the sum of squares of first ten natural numbers?,2400,2640,2880,2000,B,"**Correct Answer: Option (B) - 2640**

**Context & Concept (General Mental Ability - Logical & Analytical Reasoning):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-002,2022,GAI,General Studies & Mental Ability,General Studies & Mental Ability,General Ability | UPSC CAPF | Prelims,medium,A person buys an item from a shop for which the shopkeeper offers a discount of 10% on the marked price. The person pays using an e-wallet which gives 10% cash back. Which one of the following is the value of effective discount?,20%,18%,19%,21%,C,"**Correct Answer: Option (C) - 19%**

**Context & Concept (General Studies & Mental Ability - General Studies & Mental Ability):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-003,2022,GAI,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,medium,A solid spherical ball made of iron is melted and two new balls are made whose diameters are in the ratio 1 ∶ 2. The ratio of the volume of the smaller new ball to the original ball is,1 ∶ 3,1 ∶ 5,2 ∶ 9,1 ∶ 9,D,"**Correct Answer: Option (D) - 1 ∶ 9**

**Context & Concept (Modern History - Indian National Movement):**
Option (D) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-004,2022,GAI,Quantitative Aptitude,Basic Numeracy & Quantitative Aptitude,Aptitude | Mathematics | Quantitative Reasoning | Problem Solving,medium,Suppose a bank gives an interest of 10% per annum compounded annually for a fixed deposit for a period of two years. What should be the simple interest rate per annum if the maturity amount after two years is to remain the same ?,10%,10.5%,11%,12%,B,"**Correct Answer: Option (B) - 10.5%**

**Context & Concept (Quantitative Aptitude - Basic Numeracy & Quantitative Aptitude):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-005,2022,GAI,Quantitative Aptitude,Basic Numeracy & Quantitative Aptitude,Aptitude | Mathematics | Quantitative Reasoning | Problem Solving,easy,"A runner's average speed reduces by 25% every hour. lf he runs 16 Km in the first hour and he runs for 3 hours, then what is his overall average speed?",12 km/hr,12.33 km/hr,10.33 km/hr,13 km/hr,B,"**Correct Answer: Option (B) - 12.33 km/hr**

**Context & Concept (Quantitative Aptitude - Basic Numeracy & Quantitative Aptitude):**
Option (B) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-006,2022,GAI,General Studies & Mental Ability,General Studies & Mental Ability,General Ability | UPSC CAPF | Prelims,easy,Trough and ridge are,elongated area of low pressure and of high pressure respectively,elongated areas of low pressure,elongated areas of high pressure,elongated area of high pressure and of low pressure respectively,A,"**Correct Answer: Option (A) - elongated area of low pressure and of high pressure respectively**

**Context & Concept (General Studies & Mental Ability - General Studies & Mental Ability):**
Option (A) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-007,2022,GAI,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,easy,The boundary layer of the forest at which the energy exchange occurs and some insolation is returned directly to space is,forest floor,forest soil,forest canopy,forest litter,C,"**Correct Answer: Option (C) - forest canopy**

**Context & Concept (Geography - Physical and Indian Geography):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-008,2022,GAI,Quantitative Aptitude,Basic Numeracy & Quantitative Aptitude,Aptitude | Mathematics | Quantitative Reasoning | Problem Solving,easy,The organisms that prefer high salt concentration habitats refer to as,alkaliphiles,calcifuges,halophiles,nitrophiles,C,"**Correct Answer: Option (C) - halophiles**

**Context & Concept (Quantitative Aptitude - Basic Numeracy & Quantitative Aptitude):**
Option (C) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-009,2022,GAI,General Studies & Mental Ability,General Studies & Mental Ability,General Ability | UPSC CAPF | Prelims,easy,Which one of the following is not an operating system?,MS-Windows,Linux,Ubuntu,MS-Excel,D,"**Correct Answer: Option (D) - MS-Excel**

**Context & Concept (General Studies & Mental Ability - General Studies & Mental Ability):**
Option (D) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
CAPF-2022-GAI-010,2022,GAI,General Studies & Mental Ability,General Studies & Mental Ability,General Ability | UPSC CAPF | Prelims,easy,Which one of the following protocols is not an application layer of the TCP/IP model?,FTP,HTTP,DNS,IP,D,"**Correct Answer: Option (D) - IP**

**Context & Concept (General Studies & Mental Ability - General Studies & Mental Ability):**
Option (D) accurately represents the correct factual and conceptual solution for this question based on official UPSC answer keys and standard reference sources."
